Name;Mode/PID;Equation;Min;Max;Units;Header
=== Nissan Leaf / Renault Zoe (CAN 29-bit, SP7) ===;;;;;;
Battery SOH;22 015B;A;0;100;%;7E4
Battery SOC;22 015C;A;0;100;%;7E4
Battery Voltage;22 015D;(A*256+B)/100;0;500;V;7E4
Battery Current;22 015E;(A*256+B)/10;-1000;1000;A;7E4
Battery Temp;22 015F;A-40;-40;100;°C;7E4
Cell Voltage Delta;22 0160;A/100;0;1;V;7E4
Battery Capacity (kWh);22 0161;(A*256+B)/100;0;100;kWh;7E4
Cell Min Voltage;22 0162;A/50;2.5;4.2;V;7E4
Cell Max Voltage;22 0163;A/50;2.5;4.2;V;7E4
AHr Remaining;22 01C3;(A*256+B)/100;0;250;Ah;7E4
QuickCharge Count;22 01C2;(A*256+B);0;5000;Count;79B
L2 Charge Count;22 01C1;(A*256+B);0;5000;Count;79B
Motor RPM;22 1305;(A*256+B)-32768;-10000;10000;rpm;744
12V Battery Voltage;22 1156;A/10;0;16;V;762
=== Hyundai / Kia E-GMP (Ioniq 5/6, EV6, GV60) ===;;;;;;
Battery SOH;22 0105;F/10;0;100;%;7E4
Battery SOC BMS;22 0101;C/2;0;100;%;7E4
Battery SOC Display;22 0101;D/2;0;100;%;7E4
Battery Voltage;22 0101;(AE*256+AF)/10;0;800;V;7E4
Battery Current;22 0101;((AA*256+AB)-32768)/10;-1000;1000;A;7E4
Max Cell Voltage;22 0101;I/50;2.5;4.3;V;7E4
Min Cell Voltage;22 0101;J/50;2.5;4.3;V;7E4
Max Cell Temp;22 0101;N-40;-40;100;°C;7E4
Min Cell Temp;22 0101;O-40;-40;100;°C;7E4
Inlet Temp;22 0101;P-40;-40;100;°C;7E4
Outlet Temp;22 0101;Q-40;-40;100;°C;7E4
Cumulative Energy Charged;22 0101;(AC*16M+AD*65K+AE*256+AF)/10;0;99999;kWh;7E4
Cumulative Energy Discharged;22 0101;(AG*16M+AH*65K+AI*256+AJ)/10;0;99999;kWh;7E4
Odometer;22 B002;(C*65536+D*256+E);0;999999;km;7C6
=== Hyundai / Kia Legacy (Kona, Niro, Soul EV) ===;;;;;;
Battery SOH;22 0105;X/10;0;100;%;7E4
Battery SOC;22 0101;C/2;0;100;%;7E4
Aux Battery SOC;22 0101;AH;0;100;%;7E4
DC Battery Voltage;22 0101;(AE*256+AF)/10;0;500;V;7E4
DC Battery Current;22 0101;((AA*256+AB)-32768)/10;-500;500;A;7E4
=== Stellantis / PSA (Peugeot e-208, Opel Corsa-e, DS3, C4) ===;;;;;;
Battery SOH;22 F40D;A;0;100;%;764
Battery SOC;22 D804;A/2;0;100;%;764
Battery Voltage;22 D800;(A*256+B)/10;0;500;V;764
Battery Current;22 D801;((A*256+B)-32768)/10;-1000;1000;A;764
Battery Temp Avg;22 D802;A-40;-40;100;°C;764
Cell Voltage Delta;22 D803;A/100;0;1;V;764
Battery Energy Total;22 F40E;(A*256+B)/10;0;60;kWh;764
Usable Energy;22 F40F;(A*256+B)/10;0;60;kWh;764
=== BMW i3 (I01) ===;;;;;;
Battery SOH;22 2A38;A;0;100;%;6F4
Battery SOC;22 2A31;A*0.4;0;100;%;6F4
Battery Voltage;22 2A32;(A*256+B)/10;0;500;V;6F4
Battery Current;22 2A33;((A*256+B)-32768)/10;-1000;1000;A;6F4
Battery Temp Min;22 2A34;A-40;-40;100;°C;6F4
Battery Temp Max;22 2A35;A-40;-40;100;°C;6F4
Cell Voltage Min;22 2A36;(A*256+B)/1000;2.5;4.3;V;6F4
Cell Voltage Max;22 2A37;(A*256+B)/1000;2.5;4.3;V;6F4
Usable Capacity (kWh);22 2A39;(A*256+B)/100;0;42;kWh;6F4
DC Fast Charge Count;22 2A3A;(A*256+B);0;5000;Count;6F4
Total kWh Charged;22 2A44;(A*256+B)/10;0;99999;kWh;6F4
12V Battery Voltage;22 402B;A/10;0;16;V;6F4
=== BMW i4 / iX / i7 (G-series) ===;;;;;;
Battery SOH;22 DDC0;A;0;100;%;6F1
Battery SOC;22 DDBC;A*0.4;0;100;%;6F1
Battery Voltage;22 DDB4;(A*256+B)/10;0;800;V;6F1
Battery Current;22 DDB5;((A*256+B)-32768)/10;-1000;1000;A;6F1
Battery Temp;22 DDB9;A-40;-40;100;°C;6F1
Cell Voltage Delta;22 DDBA;(A*256+B)/10000;0;1;V;6F1
High Voltage Battery Temp;22 DDB8;A-40;-40;100;°C;6F1
=== Mercedes-Benz EQ (EQA, EQB, EQC, EQE, EQS, EQV) ===;;;;;;
Battery SOH;22 F18C;A;0;100;%;7E4
Battery SOC;22 D400;A/2;0;100;%;7E4
Battery Voltage;22 D401;(A*256+B)/10;0;500;V;7E4
Battery Current;22 D402;((A*256+B)-32768)/10;-1000;1000;A;7E4
Battery Temp;22 D403;A-40;-40;100;°C;7E4
Cell Voltage Delta;22 D404;(A*256+B)/10000;0;1;V;7E4
Max Cell Voltage;22 D405;(A*256+B)/1000;2.5;4.3;V;7E4
Min Cell Voltage;22 D406;(A*256+B)/1000;2.5;4.3;V;7E4
=== Audi e-tron / Q4 e-tron / Q8 e-tron / GT ===;;;;;;
Battery SOH;22 74CE;A;0;100;%;7E5
Battery SOC;22 028C;A/2.55;0;100;%;7E5
Battery Voltage;22 1E3B;(A*256+B)/4;0;800;V;7E5
